,year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
121,1954,AG,AG,16.458122,6.0232325,16.783577,47.550648,Algeria,DZA,,,,,,,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
122,1972,AG,AG,15.803469,6.756998,16.783577,47.550648,Algeria,DZA,12.859091022055242,4621.212479251807,7034.118442,8.420845032,6790000000.0,75800000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
123,1994,AG,AG,17.748486,4.0273204,16.783577,47.550648,Algeria,DZA,11.614744696254528,5227.728889931101,7511.129908,10.05843639,18000000000.0,107000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
124,1975,AG,AG,15.823954,5.2257504,16.783577,47.550648,Algeria,DZA,25.374856958568238,3987.8969438948907,7515.977938,10.41840839,10400000000.0,62700000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
125,2001,AG,AG,18.1311,3.967775,16.783577,47.550648,Algeria,DZA,10.001346593090737,5726.032885131505,8372.935437,10.40756035,27300000000.0,133000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
126,2005,AG,AG,17.143627,4.3776836,16.783577,47.550648,Algeria,DZA,,,9768.291222,8.45934391,33900000000.0,163000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
127,1950,AG,AG,17.024757,5.690652,16.783577,47.550648,Algeria,DZA,,,,,,,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
128,1970,AG,AG,16.475075,4.725627,16.783577,47.550648,Algeria,DZA,14.553676843322359,4280.133793432616,6612.722016,9.20546627,6500000000.0,63800000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
129,1971,AG,AG,16.03187,5.526421,16.783577,47.550648,Algeria,DZA,14.52293230750451,3830.378503096807,5689.668521,9.569174767,6690000000.0,51500000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
130,1951,AG,AG,16.835926,5.29542,16.783577,47.550648,Algeria,DZA,,,,,,,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
